City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Qeshm,IR,26.9581,56.2719,87.67,51,0,10.45,clear sky
289,Pevek,RU,69.7008,170.3133,25.41,81,100,25.34,overcast clouds
290,Shache,CN,38.4167,77.2406,63.46,21,3,5.86,clear sky
291,Xucheng,CN,20.35,110.1288,70.34,74,33,5.68,scattered clouds
292,Ixtapa,MX,20.7,-105.2,84.22,78,0,0.0,clear sky
293,Port-Gentil,GA,-0.7193,8.7815,80.56,83,75,12.66,broken clouds
294,Valparaiso,CL,-33.0393,-71.6273,57.47,92,100,5.75,overcast clouds
295,Xihua,CN,33.7833,114.5167,53.01,41,95,5.39,overcast clouds
296,Awjilah,LY,29.1081,21.2869,83.16,25,0,7.29,clear sky
297,Ozinki,RU,51.1786,49.6769,55.45,62,100,17.13,overcast clouds
298,Acapulco,MX,16.8634,-99.8901,84.02,79,40,0.0,scattered clouds
299,Iqaluit,CA,63.7506,-68.5145,26.33,79,75,18.41,shower rain
300,Sechura,PE,-5.5569,-80.8222,70.52,65,52,7.45,broken clouds
301,Santiago,CL,-33.4569,-70.6483,71.55,37,0,6.91,clear sky
302,Marsa Matruh,EG,31.3525,27.2453,74.5,58,4,8.79,clear sky
303,Sao Filipe,CV,14.8961,-24.4956,79.38,74,21,8.5,few clouds
304,Port Macquarie,AU,-31.4333,152.9167,58.89,71,98,5.46,overcast clouds
305,Samarkand,UZ,39.6542,66.9597,58.42,33,0,16.11,clear sky
306,Vila,PT,42.0304,-8.1588,57.7,91,97,2.51,overcast clouds
307,The Pas,CA,53.8251,-101.2541,48.22,76,0,8.05,clear sky
308,Cherskiy,RU,68.75,161.3,17.2,94,100,12.68,light snow
309,Kaspiyskiy,RU,45.3929,47.3707,65.88,84,96,8.34,overcast clouds
310,Geraldton,AU,-28.7667,114.6,57.61,77,75,10.36,broken clouds
311,Chifeng,CN,42.2683,118.9636,38.79,36,0,3.87,clear sky
312,Faya,SA,18.3851,42.4509,71.71,39,30,3.31,scattered clouds
313,Puerto Carreno,CO,6.189,-67.4859,85.64,67,87,4.29,overcast clouds
314,Londoko,RU,49.0333,131.9833,35.78,75,81,4.88,broken clouds
315,Kununurra,AU,-15.7667,128.7333,78.78,69,17,2.3,few clouds
316,Nome,US,64.5011,-165.4064,26.67,80,75,0.0,broken clouds
317,Tsabong,BW,-26.0217,22.401,96.96,7,78,16.35,broken clouds
318,Iskateley,RU,67.6803,53.1512,41.99,86,100,22.97,overcast clouds
319,Mossendjo,CG,-2.9506,12.7261,79.09,75,44,3.2,light rain
320,Saint-Louis,SN,16.3333,-15.0,93.72,37,79,5.59,broken clouds
321,Ust-Tsilma,RU,65.441,52.1498,41.65,74,97,11.18,overcast clouds
322,Tahoua,NE,14.8888,5.2692,98.58,16,0,4.61,clear sky
323,Ketchikan,US,55.3422,-131.6461,51.78,76,75,6.91,broken clouds
324,Vostok,RU,46.4856,135.8833,43.03,94,100,8.59,overcast clouds
325,Aldan,RU,58.6031,125.3894,28.31,97,100,6.04,light snow
326,Cooma,AU,-36.2333,149.1333,38.97,100,100,6.91,overcast clouds
327,Nouadhibou,MR,20.931,-17.0347,75.18,73,48,18.41,scattered clouds
328,Lensk,RU,60.7253,114.9278,34.05,95,99,3.58,overcast clouds
329,Nantucket,US,41.2835,-70.0995,64.54,73,0,10.36,clear sky
330,Olean,US,42.0776,-78.4297,57.78,71,100,5.75,overcast clouds
331,Dicabisagan,PH,17.0818,122.4157,77.74,90,94,10.38,overcast clouds
332,Sosnovo-Ozerskoye,RU,52.5249,111.5418,33.06,49,100,2.59,overcast clouds
333,Codrington,AU,-38.2667,141.9667,51.01,74,100,10.92,overcast clouds
334,Karratha,AU,-20.7377,116.8463,76.82,53,12,14.79,few clouds
335,Ponta Do Sol,PT,32.6667,-17.1,79.0,65,58,7.52,broken clouds
336,Namibe,AO,-15.1961,12.1522,73.15,73,8,11.54,clear sky
337,Maarianhamina,AX,60.0973,19.9348,53.46,82,0,24.16,clear sky
338,Yeppoon,AU,-23.1333,150.7333,65.98,85,90,16.96,overcast clouds
339,Zaltan,LY,32.947,11.8665,85.46,34,58,11.59,broken clouds
340,Giddalur,IN,15.35,78.9167,75.54,91,99,4.41,overcast clouds
341,Boa Vista,BR,2.8197,-60.6733,91.38,46,75,16.11,broken clouds
342,Kutum,SD,14.2,24.6667,88.56,17,58,13.35,broken clouds
343,Yenagoa,NG,4.9247,6.2642,82.33,77,99,5.91,moderate rain
